nt,t (s),enstrophy (m^3/s^2)
663,16.96764978395507,484.3666068321694
664,16.993242015906738,484.6913602928513
665,17.018834247858404,484.99534921766644
666,17.04442647981007,485.27761757504766
667,17.070018711761737,485.31997397460617
668,17.095610943713403,485.76484907741224
669,17.12120317566507,486.0260562659446
670,17.146795407616736,486.2664967614407
671,17.172387639568402,486.48252838473434
672,17.19797987152007,486.6710460735648
673,17.223572103471735,486.8270292530091
674,17.2491643354234,486.9924479348857
675,17.274756567375068,487.1190832945977
676,17.300348799326734,487.2125723887792
677,17.3259410312784,487.2687050627115
678,17.351533263230067,487.267702308963
679,17.377125495181733,487.22798769203257
680,17.4027177271334,487.18181660461937
681,17.428309959085066,487.3986842890831
682,17.453902191036732,487.25491424124414
683,17.4794944229884,487.2393725683766
684,17.505086654940065,487.2174442328389
685,17.53067888689173,487.1881214595012
686,17.556271118843398,487.1245151453934
687,17.581863350795064,487.02588147565746
688,17.60745558274673,486.89085704363174
689,17.633047814698397,486.7216285993992
690,17.658640046650063,486.57137278976904
691,17.68423227860173,486.4093764316542
692,17.709824510553396,486.22200008492445
693,17.735416742505063,486.0098444936234
694,17.76100897445673,485.68900053296994
695,17.786601206408395,485.3684287923768
696,17.81219343836006,485.3240713380214
697,17.837785670311728,485.0557550357031
698,17.863377902263395,484.76510860508495
699,17.88897013421506,484.5260588792024
700,17.914562366166727,484.25073834486295
